Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.26, 1.33) ; not far from the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.22, 0.53) ; not really near the near edge of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.25, 1.72) ; not squarely at the center of the left edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.61, 1.94) ; not quite near the right side of the far edge of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.18, 0.12) ; rather near the lower left corner of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 1.38) ; really far from the right side of the far edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.09, 1.77) ; not really far from the left side of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.11, 0.65) ; very far from the my end of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(1.00, 0.36) ; not very far from the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.33, 1.70) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.80, 0.34) ; not far from the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.21, 1.19) ; very far from the middle of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.40, 0.14) ; quite close to the center of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.17, 1.37) ; quite far from the center of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.87, 0.54) ; not rather far from the my end of the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.77, 1.71) ; not squarely at the middle of the far edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.55, 0.99) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.86) ; pretty close to the other end of the right edge of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.00, 1.43) ; squarely at the left edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.43, 0.87) ; fairly close to the center of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.37, 1.26) ; not far from the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 0.32) ; not far from the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 1.91) ; not at the upper left corner of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.40, 0.59) ; at the center of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.42, 0.82) ; far from the lower right corner of the table ; (S1 (PP (RB far) (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.00, 0.80) ; really near the left side of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.66, 0.64) ; at the center of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.33, 1.04) ; quite far from the left side of the near edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.49, 0.55) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.41, 1.46) ; not quite near the that end of the left edge of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (DT that) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.08, 0.04) ; pretty close to the middle of the near edge of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.09, 0.22) ; not really far from the left edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.29, 0.09) ; not rather near the left side of the near edge of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.10, 0.01) ; not really far from the this end of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.44, 1.09) ; pretty close to the middle of the left edge of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.66, 0.33) ; not quite close to the my end of the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(1.00, 1.99) ; not quite far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 0.08) ; at the near end of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.50, 1.33) ; not really far from the center of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.95, 1.92) ; not really far from the upper right corner of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.41, 1.43) ; not far from the left side of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 1.01) ; rather close to the center of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.92, 0.20) ; not squarely at the right side of the near edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.56, 0.43) ; nearly at the near edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.16, 1.04) ; very close to the left side of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.38, 1.32) ; not quite close to the that end of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.84, 1.50) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.32, 0.21) ; not squarely at the middle of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.68) ; not at the upper left corner of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.21, 0.11) ; not far from the near end of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.48, 1.82) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.75, 0.25) ; not squarely at the center of the near edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.49, 1.16) ; not really far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.38, 1.17) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.15, 1.69) ; fairly far from the center of the near edge of the table ; (S1 (ADVP (ADVP (RB fairly) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(1.00, 0.95) ; rather near the right edge of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.70, 1.38) ; very far from the this end of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.85, 1.49) ; really far from the far end of the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.56, 0.71) ; not quite close to the left side of the near edge of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.76, 0.97) ; near the center of the right edge of the table ; (S1 (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.59, 0.31) ; not far from the lower right corner of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.48, 1.66) ; pretty near the middle of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.29, 0.85) ; quite far from the left edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 1.08) ; squarely at the left side of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.89, 0.68) ; rather close to the right edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 1.62) ; fairly near the middle of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.81, 0.87) ; not squarely at the far edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.39, 1.13) ; very far from the middle of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.25, 1.73) ; not quite close to the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.74, 1.07) ; close to the middle of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.06, 0.86) ; rather close to the left edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 0.29) ; quite near the right edge of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.87, 0.73) ; not squarely at the middle of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 1.72) ; not far from the center of the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.30, 1.29) ; not very near the center of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.81, 0.09) ; not really near the middle of the near edge of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.48, 1.86) ; pretty near the center of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.49, 0.14) ; very near the center of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.82, 0.62) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.28, 1.29) ; not rather far from the far end of the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.92, 1.59) ; not far from the right side of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.21) ; almost at the left side of the near edge of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.91, 0.33) ; fairly close to the right side of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.19, 0.64) ; fairly near the left edge of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.15, 0.41) ; not at the lower left corner of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (ADJP (RBR lower) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.66, 1.02) ; not very far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.61, 1.69) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 1.37) ; somewhat close to the middle of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.84, 1.84) ; close to the other end of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.52, 1.81) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 1.28) ; really far from the left side of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 1.70) ; very near the right side of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.51, 1.16) ; not very far from the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.36, 0.04) ; not at the my end of the left edge of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.35, 1.68) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.66) ; not near the middle of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 0.81) ; quite far from the center of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.66, 0.44) ; quite far from the other end of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.78, 1.69) ; really far from the center of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.74, 0.33) ; pretty close to the lower right corner of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
